风电场群总出力_MW,集电线路故障率_次百km年,箱变渗漏油次数_次月,风机基础沉降速率_mm月,场区道路承载力_MPa,电缆沟积水深度_mm,集电系统电压不平衡度_%,升压站设备温升_℃,防雷接地电阻_Ω,风机可利用率_%,CRI综合风险指数,风险等级_二分类
107.11,0.44,0.0,2.08,29.86,24.46,0.54,33.43,1.43,98.11,0.6682,1
155.14,0.61,1.99,0.72,32.05,9.39,0.94,39.53,0.56,99.99,0.583,0
300.45,1.58,1.09,0.15,8.0,20.62,0.05,51.36,9.33,93.51,0.4227,0
417.84,0.1,2.0,0.6,26.05,2.4,0.1,37.49,1.85,88.66,0.1548,0
92.51,0.93,0.0,0.04,37.87,37.16,0.56,52.73,5.85,90.78,0.6057,1
235.96,0.51,0.0,0.35,39.62,6.63,2.77,54.05,5.11,95.77,0.4851,1
485.06,1.61,0.97,0.59,48.18,11.17,0.26,26.13,2.98,92.82,0.0,0
120.35,0.17,1.96,1.64,50.23,10.28,0.25,62.6,2.38,97.21,0.5876,1
422.98,1.48,1.94,0.46,49.98,53.37,0.69,42.83,1.8,93.0,0.191,0
203.84,4.34,3.02,0.24,20.76,27.21,0.33,18.8,4.25,90.93,0.5458,1
327.92,0.26,1.01,0.59,28.65,13.71,1.2,39.15,0.5,91.71,0.3716,0
430.54,1.44,1.96,0.29,26.42,19.23,1.32,52.86,6.5,94.4,0.2451,0
219.42,2.21,1.01,0.69,37.56,37.73,1.02,19.34,1.28,95.33,0.4601,1
296.09,3.5,1.01,1.02,35.16,42.38,0.05,41.09,1.6,94.88,0.5638,1
261.67,0.1,0.0,1.13,28.59,0.28,0.77,31.13,2.38,92.12,0.4715,1
474.14,0.52,0.92,0.78,24.61,13.11,0.37,47.21,7.7,95.41,0.1121,1
204.67,1.67,1.05,0.34,29.77,3.48,0.43,64.19,5.06,89.65,0.5871,1
116.41,0.69,0.04,2.26,43.66,32.2,0.69,45.76,3.85,89.43,0.6609,0
306.0,1.37,0.0,1.03,20.97,32.6,0.27,35.91,3.04,89.17,0.4248,0
445.65,2.78,0.95,1.1,27.18,65.07,0.2,51.6,1.81,93.71,0.2801,0
420.6,2.49,5.94,0.53,43.46,31.75,1.76,51.11,2.61,98.08,0.2529,0
309.18,2.52,0.01,0.05,36.28,9.83,0.36,47.37,1.12,89.35,0.4444,0
133.97,0.93,2.05,0.22,53.65,27.57,2.51,73.85,5.61,91.88,0.6655,0
130.74,4.09,0.04,1.87,36.16,6.61,0.61,35.0,3.1,93.31,0.633,1
269.99,3.26,0.94,2.55,62.13,74.37,1.54,60.17,4.52,96.85,0.6024,1
273.32,0.82,0.01,1.07,32.33,0.35,0.62,65.97,2.31,90.47,0.5794,1
284.87,3.71,1.99,0.04,29.62,5.71,1.76,55.57,5.13,92.32,0.5713,1
393.51,1.87,0.0,0.32,32.76,12.84,0.33,47.57,1.7,96.94,0.2022,0
456.12,0.84,3.0,1.61,33.3,5.31,0.25,28.89,3.2,88.35,0.1802,0
396.15,1.95,0.99,1.22,24.89,29.83,0.29,25.19,0.5,90.61,0.2708,0
470.1,0.81,0.0,0.78,33.88,2.94,0.73,53.18,2.77,98.43,0.156,1
287.93,0.67,0.01,2.91,33.71,1.78,0.35,65.84,3.06,92.46,0.5232,1
289.82,6.04,1.04,0.38,33.51,51.35,0.09,34.74,3.09,93.78,0.569,1
478.25,1.23,0.0,0.78,34.43,53.41,0.44,29.53,4.05,91.01,0.0511,0
465.33,5.56,1.99,0.22,33.36,21.44,0.71,45.4,4.2,86.18,0.3779,0
476.6,0.55,1.0,0.09,33.88,12.36,0.42,55.2,2.26,99.61,0.0899,0
72.44,0.5,0.99,1.58,26.66,0.48,0.67,39.88,3.69,88.67,0.8086,1
369.97,5.26,0.03,0.11,24.09,26.13,0.81,33.05,11.0,99.98,0.389,0
93.19,0.26,0.97,1.71,38.84,49.76,1.22,52.56,2.77,92.14,0.6372,1
443.82,2.19,1.95,0.65,44.09,108.76,0.56,25.07,6.59,93.3,0.2074,0
128.47,2.41,3.01,1.89,19.0,18.48,1.36,45.91,1.85,93.2,0.7866,1
129.57,0.29,4.06,0.03,25.75,86.0,1.59,38.0,2.79,96.33,0.5805,1
206.85,1.21,1.1,1.33,33.69,3.14,1.36,22.98,3.75,99.05,0.5761,1
95.43,1.11,1.96,0.01,42.95,65.89,1.21,23.02,8.53,96.52,0.4613,1
473.46,0.71,1.04,1.43,44.22,4.8,0.53,61.57,1.06,92.77,0.1358,0
154.91,3.59,3.0,0.65,18.17,9.71,0.86,28.77,7.64,96.4,0.7357,1
295.63,3.98,2.99,0.12,38.52,38.15,0.21,22.69,0.71,91.42,0.4518,0
381.01,1.02,3.06,0.96,42.04,2.15,1.7,46.78,2.81,96.67,0.3435,0
443.69,3.06,0.99,0.02,28.09,26.3,0.35,46.6,7.27,98.7,0.2258,0
207.67,0.65,1.94,1.38,40.57,15.54,0.58,62.52,0.5,95.2,0.5167,1
409.54,5.6,2.93,0.29,25.89,51.3,0.67,31.5,0.74,91.16,0.3688,0
461.88,0.34,0.95,1.33,30.91,2.58,0.29,75.54,0.85,95.72,0.2205,0
309.98,1.85,0.0,0.44,40.16,0.94,2.91,43.48,0.5,98.02,0.4087,0
477.71,2.06,1.0,0.59,33.79,0.84,0.16,45.8,0.81,98.56,0.0356,0
349.88,0.39,1.96,1.81,25.34,3.63,0.33,25.11,4.61,91.74,0.3476,0
283.81,2.12,0.04,0.31,32.79,7.03,0.99,53.26,1.56,98.79,0.4211,0
278.45,1.22,0.02,0.93,51.16,32.18,0.22,56.0,1.55,98.66,0.4096,0
318.38,2.52,0.06,0.05,35.71,72.45,0.1,48.71,0.79,92.71,0.3341,0
472.57,0.66,0.0,1.12,55.4,21.36,0.39,51.31,8.73,94.94,0.0687,0
244.48,1.35,4.07,0.15,34.31,0.11,0.03,36.48,3.94,99.99,0.3744,0
341.46,2.2,2.01,0.25,22.25,62.6,0.84,53.61,3.57,99.11,0.4482,0
107.75,4.09,0.05,0.27,35.07,19.73,0.37,53.83,1.36,92.54,0.7385,1
319.92,1.16,1.06,0.21,21.71,27.27,1.3,52.73,1.38,92.61,0.4137,0
315.23,1.32,0.9,0.56,39.9,4.06,1.09,21.29,1.7,96.71,0.2982,0
53.72,1.12,1.95,0.77,37.23,14.55,0.59,38.15,2.64,96.83,0.6589,1
414.91,2.91,0.0,0.42,29.15,5.38,1.32,29.9,1.02,91.51,0.2975,0
421.6,1.65,1.92,3.11,35.6,12.22,1.89,57.38,7.4,94.2,0.4623,1
232.57,1.43,2.06,0.19,30.57,13.79,0.25,38.5,2.2,91.6,0.4389,0
100.03,0.34,4.99,3.7,40.19,0.25,1.23,72.15,5.29,90.01,0.8199,1
414.05,4.79,0.98,1.67,48.26,22.97,0.65,43.97,3.89,92.98,0.3537,1
262.78,0.25,1.99,0.03,23.53,48.8,0.35,40.28,2.51,86.16,0.4561,0
188.58,2.31,1.02,0.52,10.69,20.02,1.04,42.05,4.32,90.45,0.6935,0
91.58,0.84,0.0,1.12,20.74,23.12,1.55,62.69,1.86,92.47,0.8048,1
376.87,2.81,4.04,1.29,40.65,39.83,0.17,41.46,1.62,89.64,0.3042,1
399.25,0.72,0.96,0.84,36.3,54.24,0.61,44.52,3.3,97.39,0.181,0
272.39,2.94,2.02,0.93,37.97,38.23,0.36,68.19,3.3,96.41,0.61,1
237.54,3.77,1.08,2.1,34.71,19.36,1.28,42.97,7.1,97.21,0.5714,1
350.58,0.81,5.01,0.06,24.33,8.71,0.41,39.52,3.39,96.69,0.2824,1
157.68,0.21,4.04,0.62,31.81,38.24,0.76,39.64,0.5,94.29,0.5006,1
171.89,1.86,0.93,0.49,25.16,57.81,3.05,50.92,0.82,96.33,0.7069,1
106.31,1.12,0.06,0.65,41.85,8.44,0.06,48.01,3.34,99.58,0.5912,1
221.9,1.34,1.01,0.53,36.48,94.06,0.08,53.9,2.38,93.4,0.4476,0
256.61,5.7,0.0,3.85,37.6,5.36,0.77,31.97,0.5,91.01,0.751,0
263.04,2.77,1.98,0.3,25.58,35.09,0.88,58.53,10.54,90.43,0.6266,1
356.71,2.09,1.03,1.16,26.37,18.25,0.19,62.04,8.5,92.98,0.4869,1
145.64,0.1,1.04,0.46,27.07,22.74,1.15,39.52,2.12,99.24,0.5763,1
312.94,2.15,1.0,0.05,40.08,20.13,0.23,54.45,5.31,90.77,0.3921,1
292.93,0.1,3.0,1.79,28.28,24.57,1.35,29.14,3.19,91.03,0.3789,0
127.74,0.39,1.98,0.05,38.26,22.48,0.24,54.2,7.42,98.18,0.5464,0
442.66,0.53,0.02,1.17,45.15,10.84,0.09,33.72,4.41,94.14,0.1057,0
146.47,0.75,1.02,1.81,28.93,9.88,1.92,54.8,7.24,95.72,0.7073,1
322.07,2.34,0.0,0.61,39.95,19.04,0.5,43.49,1.36,96.77,0.361,0
420.98,1.58,1.0,1.75,37.33,1.78,0.78,50.63,7.67,93.11,0.1918,0
352.19,1.78,2.03,0.85,37.01,37.12,0.28,63.26,7.23,99.99,0.2782,0
60.81,0.85,3.09,0.93,40.1,40.8,0.67,41.17,1.82,92.69,0.6605,1
342.68,0.95,1.93,3.02,35.93,14.99,0.26,54.28,2.63,98.04,0.4235,0
310.93,1.48,0.0,1.68,57.18,12.06,0.26,57.0,1.97,92.37,0.3837,0
465.11,1.54,0.0,0.96,10.56,47.01,0.57,28.13,1.68,92.02,0.1863,0
442.22,3.74,2.96,0.96,37.88,11.68,0.8,34.06,0.67,90.63,0.2533,0
174.71,4.28,1.96,1.28,10.97,6.85,0.67,37.15,2.74,99.99,0.733,1
265.11,0.37,1.99,0.25,33.89,2.9,0.61,47.96,1.92,98.25,0.3323,0
445.45,3.13,0.91,1.37,21.81,13.54,1.02,45.73,0.66,99.18,0.311,0
81.16,2.62,1.05,0.25,46.55,29.56,1.69,26.91,2.59,92.32,0.6683,0
221.37,2.69,0.0,0.8,31.79,9.94,1.6,56.23,1.41,99.99,0.621,1
431.8,0.34,1.03,0.84,22.82,3.05,0.11,50.0,3.49,90.51,0.2252,0
141.43,4.54,1.08,0.21,36.08,27.4,0.94,39.07,4.1,96.13,0.6689,1
262.27,2.65,1.02,0.36,35.51,28.58,0.33,24.77,0.68,96.26,0.3907,0
138.92,0.77,2.07,0.57,28.21,3.31,0.99,56.63,4.06,94.5,0.6424,1
306.1,1.82,1.06,0.27,23.17,37.98,0.76,35.7,5.43,94.88,0.4367,0
85.96,3.39,0.03,2.29,42.85,97.34,0.12,41.25,8.39,92.79,0.773,1
294.76,1.03,0.96,1.29,35.39,13.33,1.29,59.61,4.15,87.98,0.5323,1
379.21,1.77,0.05,0.22,45.34,9.78,3.07,41.58,3.79,99.99,0.3113,0
236.37,3.0,0.0,1.44,43.97,32.0,0.44,31.43,3.72,95.0,0.5558,1
452.76,2.16,2.05,0.24,57.41,6.97,2.47,39.82,2.45,88.75,0.1497,0
310.59,5.09,0.94,2.98,20.28,14.57,0.25,52.44,2.58,96.62,0.6565,0
165.1,0.25,4.99,0.28,30.77,6.99,0.76,44.88,7.4,98.31,0.6066,1
347.59,4.59,2.05,1.16,41.92,10.3,0.44,46.22,6.27,95.33,0.3632,0
177.7,0.66,2.03,3.3,47.93,18.95,0.79,15.0,5.96,98.89,0.4951,1
172.42,0.91,3.07,1.83,35.17,16.23,0.4,49.79,2.38,99.99,0.5579,1
192.94,0.74,0.03,0.21,36.66,12.79,1.42,56.7,11.62,83.64,0.5623,1
81.3,0.19,2.16,1.28,41.62,35.08,0.73,38.46,5.27,94.8,0.5764,1
259.43,0.32,0.01,0.21,32.91,12.71,0.21,27.98,2.82,94.17,0.2406,0
473.67,3.8,0.02,0.16,44.79,35.07,0.53,70.63,1.36,92.06,0.2638,0
305.62,1.71,2.07,0.66,45.18,21.25,0.35,35.71,0.83,99.05,0.4428,0
497.13,0.89,0.05,4.82,47.26,20.49,0.99,75.69,1.51,95.2,0.3934,0
427.48,3.97,1.01,2.86,40.05,41.12,1.24,39.03,7.84,96.62,0.4224,0
239.8,3.11,0.05,0.06,29.21,16.78,0.51,52.64,1.1,90.57,0.5808,1
416.73,3.12,4.05,0.6,21.51,11.8,0.6,24.99,7.07,93.97,0.3785,0
482.73,9.64,0.04,2.04,40.73,24.77,0.21,47.71,1.32,92.81,0.523,1
411.28,4.72,0.98,1.38,43.48,43.65,1.6,35.79,5.29,99.99,0.3616,0
392.26,0.57,0.02,1.34,38.33,22.06,2.39,41.52,1.35,91.03,0.3518,0
109.53,0.66,0.97,0.01,19.87,42.67,0.42,55.1,13.95,92.25,0.6273,1
297.37,2.1,0.07,1.86,20.4,61.82,1.87,45.48,0.66,99.99,0.5524,1
90.17,0.7,0.04,1.06,49.66,1.03,1.35,63.49,0.93,90.24,0.7095,1
473.05,0.41,0.92,0.43,32.86,67.99,0.52,66.42,1.25,92.68,0.1718,0
244.95,0.32,4.01,0.61,42.66,13.6,1.34,51.24,4.7,92.71,0.412,0
179.29,0.53,1.94,0.38,21.6,24.44,0.81,34.68,3.69,94.43,0.5183,1
402.07,1.52,3.04,0.06,41.83,2.78,0.12,48.87,2.06,95.71,0.1961,0
99.22,2.47,2.04,0.12,34.83,25.68,0.62,49.89,2.23,92.22,0.6826,1
494.86,1.63,1.93,1.21,29.78,31.34,1.75,16.77,4.79,88.86,0.1668,1
184.18,0.94,3.07,1.62,14.16,11.68,1.0,16.08,1.85,96.07,0.613,0
87.37,0.61,1.93,0.51,27.76,7.27,3.08,49.96,1.08,97.12,0.7625,1
490.23,1.49,0.0,0.36,25.15,85.3,0.98,65.58,2.73,99.35,0.2018,0
151.53,0.66,0.0,0.35,32.27,20.24,1.12,66.27,4.23,94.52,0.6624,1
250.8,1.65,0.0,0.97,28.66,26.35,0.11,40.12,3.54,93.43,0.4894,1
346.29,0.6,3.1,0.33,32.91,16.36,0.71,53.98,2.62,98.0,0.302,0
362.87,2.03,0.0,0.16,41.3,1.0,0.1,46.01,1.44,94.28,0.2147,0
425.94,2.62,2.92,2.52,40.29,15.37,0.3,50.04,1.93,99.99,0.2978,0
327.08,3.83,1.97,0.45,46.32,32.21,0.55,17.24,0.9,95.15,0.2448,0
322.6,2.71,1.08,0.8,39.79,3.24,0.47,72.17,2.28,94.37,0.4395,0
209.57,2.31,0.92,0.31,36.83,55.88,0.56,79.15,5.75,92.97,0.6044,1
485.45,1.12,0.07,1.2,28.51,33.45,0.63,64.11,3.76,93.83,0.2218,0
233.77,1.8,2.98,0.03,44.59,0.32,0.68,55.49,0.5,94.54,0.4947,0
341.97,2.84,0.99,0.02,35.02,13.63,0.11,47.99,2.96,91.96,0.3416,0
249.75,3.51,1.97,0.53,45.48,57.12,1.22,45.45,0.5,94.93,0.5103,1
442.82,1.36,1.05,0.63,46.37,39.05,1.45,22.17,1.0,94.24,0.1227,0
232.5,1.02,0.0,1.02,42.68,42.31,0.56,51.4,4.28,99.17,0.5241,1
450.18,0.17,1.0,0.29,32.04,13.04,0.11,61.94,6.86,88.65,0.214,1
334.21,0.1,2.0,0.33,40.03,30.95,1.94,48.24,1.69,96.66,0.2912,0
253.79,0.38,0.92,0.18,29.43,6.94,1.01,46.81,1.58,92.77,0.4711,1
351.95,3.93,2.05,0.44,24.83,77.76,0.33,43.64,6.92,86.52,0.4798,1
245.73,0.35,0.0,0.63,8.0,7.68,0.52,45.65,6.55,86.93,0.4806,1
91.43,0.1,0.03,0.56,37.38,31.92,0.5,53.4,7.44,88.79,0.6197,1
134.82,0.29,2.01,0.1,36.06,2.56,0.3,34.74,6.36,96.56,0.4814,1
456.78,1.83,1.03,0.57,52.0,24.8,0.2,34.05,3.67,96.71,0.0449,0
430.5,1.57,0.0,0.61,25.27,27.64,0.07,64.46,4.46,99.58,0.2522,0
70.21,3.68,0.0,1.67,25.32,11.2,3.15,46.36,1.88,93.23,1.0,1
124.77,1.2,0.98,1.59,29.32,18.13,0.77,36.36,0.5,90.21,0.6786,1
460.36,0.57,0.04,0.25,43.96,0.93,0.34,39.27,3.66,89.51,0.0391,0
245.73,2.79,0.07,1.15,36.87,4.41,0.43,56.71,3.11,99.18,0.486,1
253.58,6.0,1.0,0.83,40.11,4.02,2.27,70.8,0.55,91.65,0.7814,1
444.55,0.87,0.98,0.78,28.43,13.74,0.37,80.05,2.6,94.84,0.2596,0
366.98,2.34,1.96,0.95,28.45,12.11,0.05,25.7,3.42,94.8,0.2639,0
64.24,1.33,0.02,0.74,33.97,21.13,1.37,24.47,3.0,91.98,0.652,0
115.16,2.19,0.91,0.09,23.3,21.22,0.02,18.13,4.1,89.73,0.5603,1
370.88,1.73,3.07,1.41,33.89,19.02,0.7,38.14,6.98,91.81,0.3331,0
318.49,1.36,1.04,0.73,44.5,8.1,1.71,74.23,4.12,89.22,0.4512,0
448.43,4.64,0.0,0.29,26.2,27.32,1.36,44.84,4.9,90.02,0.359,0
141.81,2.28,2.98,1.05,27.95,9.98,0.13,29.48,2.18,97.81,0.5921,1
486.68,0.21,0.94,1.06,40.58,17.07,0.22,24.58,6.33,96.06,0.0568,0
381.68,2.18,2.02,1.56,21.81,27.14,0.31,63.28,0.68,89.58,0.4112,0
480.8,2.58,1.0,3.52,38.31,39.25,0.84,52.82,1.22,91.77,0.31,0
233.14,0.68,0.97,0.8,41.55,14.45,2.57,36.44,2.06,86.65,0.5198,1
94.13,1.24,2.03,1.16,19.88,2.21,1.86,52.75,4.4,96.52,0.7492,1
350.38,2.65,0.0,2.25,42.0,3.36,2.53,59.2,3.18,98.33,0.4831,1
487.13,3.22,2.02,0.4,57.13,23.14,0.02,59.48,1.37,99.99,0.1281,0
242.09,2.59,2.04,0.35,52.47,30.18,0.19,63.09,5.7,88.23,0.4997,1
290.33,2.95,0.0,1.43,28.24,14.55,1.39,31.2,3.3,91.22,0.5236,1
177.43,4.24,0.97,1.0,48.2,2.52,1.53,54.52,2.39,87.4,0.6577,1
345.98,1.66,2.92,2.82,37.29,27.44,0.47,30.55,0.68,96.49,0.3744,0
145.4,1.49,1.01,0.19,21.9,94.65,1.06,23.13,2.54,90.39,0.6534,1
441.42,0.23,4.05,0.11,54.92,2.87,0.65,30.27,2.77,90.31,0.0,0
237.66,1.09,0.09,0.81,29.12,21.72,0.42,33.09,5.36,99.99,0.3996,0
467.54,2.25,0.0,1.08,29.02,6.1,1.13,60.56,3.93,94.45,0.2714,1
466.81,0.42,0.03,0.55,44.33,14.14,0.64,67.8,3.35,94.52,0.1043,0
478.15,3.4,0.99,1.21,23.68,7.31,0.12,33.65,1.77,93.18,0.2577,0
332.0,0.1,0.02,0.47,28.54,23.15,1.66,52.39,10.98,92.75,0.4133,0
480.45,1.45,2.04,3.05,33.91,63.97,1.02,41.87,2.9,95.53,0.2275,0
221.98,1.71,2.08,1.16,43.25,20.91,1.66,37.69,6.83,94.81,0.5327,1
159.92,0.82,0.94,0.31,21.12,28.63,0.31,35.22,2.34,92.87,0.5454,1
496.79,7.65,1.01,0.74,32.57,18.93,1.77,40.49,5.69,93.63,0.4133,0
70.02,1.25,3.01,2.09,25.17,9.66,0.49,40.87,0.87,88.85,0.6978,1
133.86,1.29,0.94,1.41,30.95,7.68,1.51,58.51,1.55,98.82,0.6515,1
341.55,1.1,0.0,3.85,44.42,71.31,0.11,60.96,2.69,96.05,0.4413,1
323.98,0.51,3.02,0.41,28.69,6.61,2.55,50.98,3.84,96.7,0.5047,1
219.54,1.45,1.02,2.03,28.53,84.22,0.54,55.92,3.97,99.99,0.5485,1
329.55,0.49,0.0,0.51,31.88,3.99,2.52,47.37,4.64,92.9,0.3586,0
463.05,2.22,2.04,0.08,47.88,41.9,0.11,35.9,2.61,89.24,0.0206,0
306.01,0.21,2.04,0.53,52.75,60.99,0.4,60.98,3.67,93.01,0.313,0
452.13,0.32,1.07,0.42,21.17,1.14,1.14,58.67,1.42,96.48,0.2473,0
145.31,2.89,0.0,0.13,38.6,12.58,0.69,40.77,0.59,93.39,0.5832,1
223.77,2.39,0.0,0.68,32.2,29.87,1.43,44.88,0.92,96.71,0.4974,1
145.84,1.02,1.06,0.2,21.36,69.57,0.77,46.22,8.16,93.06,0.5891,1
114.45,0.46,0.96,0.08,49.11,22.42,0.49,17.06,2.52,99.99,0.4358,0
438.19,4.56,3.01,3.04,36.59,11.0,1.49,19.61,5.96,92.93,0.4759,0
216.65,2.62,1.02,1.26,39.06,17.96,0.3,38.63,4.79,96.95,0.4382,0
426.94,1.0,1.01,0.12,25.1,17.13,0.17,48.94,0.5,89.17,0.2733,0
437.85,1.94,0.0,3.6,34.44,31.65,0.57,33.38,0.78,91.8,0.287,0
427.58,1.37,3.01,1.64,21.29,17.85,1.91,47.78,3.49,96.68,0.3377,0
390.52,3.19,0.0,0.65,27.11,18.57,0.51,58.91,9.9,94.71,0.3712,0
310.44,1.03,0.08,1.26,43.14,5.54,1.29,26.05,7.83,94.81,0.3066,0
458.47,1.44,0.97,0.15,36.39,15.53,2.22,54.95,5.5,89.91,0.2849,0
499.12,1.05,1.04,0.07,23.98,24.84,0.07,53.93,6.35,94.99,0.1133,0
431.61,4.67,0.0,1.89,27.54,1.4,0.64,43.33,5.52,97.56,0.3677,0
156.05,4.11,2.12,3.99,36.79,40.35,2.17,34.52,1.79,99.99,0.8908,1
488.29,2.44,1.01,1.19,34.51,0.18,0.38,41.51,7.66,92.37,0.1789,0
417.71,1.02,4.04,0.2,37.36,22.34,5.0,81.36,2.87,91.15,0.5311,1
309.61,1.78,1.95,2.74,34.44,10.28,0.54,50.22,0.84,89.72,0.4284,0
454.16,1.19,0.95,0.05,34.66,3.55,0.87,58.17,2.05,93.92,0.1696,0
56.35,1.89,2.0,0.69,42.6,51.14,0.44,58.26,4.03,97.56,0.7403,1
460.49,0.88,0.0,1.98,15.23,13.38,0.07,51.23,3.64,91.99,0.2465,0
98.49,1.42,2.02,0.73,24.66,59.47,0.23,43.46,2.27,98.46,0.605,0
475.95,6.04,2.02,0.69,31.12,1.0,1.31,61.16,7.5,91.4,0.3538,0
250.83,1.13,2.07,0.2,49.34,2.68,0.24,52.53,8.55,90.69,0.4024,0
407.96,0.33,2.05,1.17,45.63,3.37,0.85,58.44,0.5,99.99,0.1362,0
220.31,1.28,0.01,1.42,49.93,14.09,0.18,17.14,2.93,93.8,0.4455,0
362.6,3.97,0.93,0.62,22.16,12.68,0.3,30.2,8.01,86.95,0.4949,1
245.16,1.56,0.98,1.29,61.66,27.95,0.49,26.55,3.16,91.31,0.3962,0
140.34,3.06,1.92,0.22,34.9,5.82,1.09,26.88,3.49,98.55,0.592,1
192.12,0.99,0.0,0.31,46.55,57.05,0.16,50.01,6.78,90.33,0.5022,1
60.9,1.2,0.0,0.58,34.3,3.4,0.11,36.78,5.18,90.18,0.653,1
428.1,0.26,1.95,0.02,28.68,6.65,2.39,60.42,3.55,96.52,0.3021,0
307.37,0.59,1.0,0.48,42.01,13.47,0.22,34.96,7.96,83.45,0.2992,1
409.35,2.04,0.97,0.93,11.35,11.97,0.47,35.07,3.08,94.65,0.3259,0
287.27,0.87,0.92,0.01,27.67,40.97,0.66,38.75,0.5,87.49,0.3964,0
425.35,0.61,2.08,1.03,40.9,60.01,0.48,59.56,3.78,96.91,0.1465,0
331.06,0.33,2.08,0.29,34.35,5.53,1.0,43.89,1.84,94.59,0.2884,0
205.09,0.56,2.06,1.84,16.98,3.71,0.25,22.39,3.06,97.04,0.5066,1
57.18,0.25,0.06,0.49,37.11,27.37,0.4,40.15,2.28,94.19,0.6416,1
168.1,3.48,1.98,0.08,41.73,0.76,0.59,46.45,3.5,91.78,0.5256,0
112.58,0.78,0.0,0.82,41.66,20.04,0.61,34.7,2.84,91.17,0.6431,1
111.66,2.49,2.08,0.21,37.49,46.54,1.53,46.44,3.02,87.82,0.6993,1
320.83,2.71,0.01,0.92,48.05,16.83,0.5,62.98,2.6,91.52,0.4078,0
391.52,0.43,1.91,0.97,33.69,36.27,0.8,57.94,1.66,94.58,0.3146,0
107.34,2.54,2.03,0.98,42.24,31.24,0.88,63.82,2.04,86.37,0.8407,1
364.9,2.94,0.89,0.44,44.1,41.81,0.7,60.62,10.44,99.92,0.306,0
188.19,1.72,4.04,1.16,40.88,25.87,0.17,37.48,2.45,96.56,0.4687,1
168.94,0.17,1.99,0.94,41.24,6.57,0.86,40.13,4.25,88.37,0.516,0
342.52,2.44,3.94,0.78,34.28,9.79,0.77,39.89,2.88,91.98,0.3336,0
170.23,0.52,0.02,1.25,25.22,10.05,1.31,33.52,2.17,96.86,0.5768,1
464.01,0.73,1.05,0.46,14.36,0.1,2.55,55.06,4.61,96.33,0.3042,0
363.05,0.95,0.9,0.76,36.88,19.57,0.66,35.26,4.47,94.97,0.2088,0
299.38,5.68,1.95,1.08,33.32,11.81,0.2,41.02,2.28,93.51,0.5009,1
57.63,1.28,1.07,0.26,11.83,16.03,1.52,33.88,5.02,90.27,0.8696,1
358.88,0.86,1.92,1.44,37.08,23.5,0.55,56.96,1.58,99.44,0.3295,0
252.49,2.7,0.0,0.2,37.4,35.26,0.66,49.33,3.77,97.31,0.4688,1
98.11,0.46,1.03,1.18,37.06,4.06,1.48,32.79,3.06,94.11,0.6455,1
213.53,0.25,0.0,0.14,27.52,33.57,0.82,45.84,1.86,95.7,0.5085,1
194.18,0.59,4.03,2.23,35.15,5.72,0.94,53.89,4.42,92.73,0.6178,1
427.31,3.35,0.97,3.01,37.87,48.54,1.35,46.04,1.02,98.8,0.3988,1
363.92,1.44,0.96,1.15,35.49,43.8,0.05,35.3,2.0,89.67,0.2443,0
151.29,1.57,1.05,0.91,31.82,42.44,0.88,27.02,3.49,94.64,0.5446,1
381.43,2.23,0.0,0.29,28.99,16.27,0.2,22.54,2.58,99.04,0.2152,0
143.6,4.08,2.01,0.51,38.22,4.08,0.36,25.83,1.24,92.03,0.5784,1
423.58,1.87,0.0,1.57,8.66,32.88,0.25,38.37,6.09,91.87,0.3431,0
414.57,5.3,0.0,0.8,25.82,20.59,0.31,53.1,0.5,89.19,0.4558,0
293.71,3.39,0.0,0.14,45.81,17.67,0.15,39.61,2.75,95.66,0.3109,0
377.98,1.09,0.93,1.81,26.54,7.02,0.62,37.02,1.89,99.99,0.2741,0
487.82,3.05,1.01,0.28,34.61,21.48,0.08,46.33,5.83,94.83,0.1339,0
51.73,1.95,0.01,1.04,56.93,29.53,0.63,36.33,2.64,91.73,0.6753,1
465.03,1.22,0.97,0.56,46.89,4.0,0.88,48.2,2.5,99.99,0.0446,0
399.16,2.46,0.99,1.05,27.58,28.39,0.67,32.74,1.56,92.61,0.3168,0
277.65,1.28,0.96,1.0,26.32,18.2,0.07,35.75,2.43,98.83,0.4389,0
454.73,0.69,2.01,1.23,40.3,1.03,0.35,63.56,0.66,90.31,0.2193,0
295.58,1.2,0.02,1.99,47.71,13.82,1.39,44.54,1.28,94.11,0.4869,1
420.25,3.51,1.95,0.82,31.98,32.43,0.28,35.16,12.73,94.22,0.2587,0
197.7,5.07,1.01,0.03,40.27,4.27,0.65,73.13,3.14,95.35,0.68,1
220.91,1.01,1.01,0.91,38.06,12.14,0.51,52.67,9.02,95.85,0.4781,1
432.19,1.49,0.0,0.14,49.92,2.68,0.68,37.6,3.72,93.8,0.1382,0
115.06,2.04,2.98,0.3,37.96,8.86,0.57,31.47,5.13,99.35,0.5011,0
233.57,0.36,1.09,0.56,28.64,4.63,1.18,45.13,1.36,99.25,0.4233,1
397.68,0.66,0.98,0.28,16.37,12.44,1.03,58.39,0.5,86.25,0.3988,0
85.74,3.41,0.0,0.87,28.53,29.28,0.86,42.36,6.32,91.31,0.86,1
334.57,0.47,0.98,3.02,25.02,6.0,0.34,44.48,2.97,89.06,0.4599,0
78.8,0.46,1.99,0.98,15.37,42.46,1.61,37.71,0.5,98.59,0.7493,1
